prod_value,markup_value
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка
Клиент: В супермаркете около дома, терминал пише 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в как именно магазине возникла ошиб
Клиент: В супермаркете около дома, термина пи 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повтор опла или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Оператор: Конечно, подскажи дату рожден для идентификаци
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый день, хочу узнать остаток по кредиту
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рубле","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый вечер, хочу оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конеч подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 го
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, у меня не проходит опла картой в магазине.
Клиент: В супермаркете около до терминал пише 'отказано'.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: У меня не получается войти в мобильно приложение.
Клиент: Пишет 'неверный пароль'.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Добрый вечер, хочу оформить вклад.
Клиент: Примерно 300 тысяч рублей.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстанов пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, м нужно заблокировать карт я е потерял.
Клиент: 3456.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Оператор: Понимаю. Скажите, пожалуйста, в каком именно магаз возникл ошибка?
Оператор: Вижу, чт карта активна. Попробуйте, пожалуйста, повторить оплату ил воспользоваться банкомат рядо","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: У м не получается войти в мобильное приложен
Оператор: Понима Какая именно ошибка отображается?
Клиент: Пишет 'неверный пароль
Оператор: В таком случае вам нужно восстанов пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Добрый день, хочу узнат остато по креди
Оператор: Конечно, подскажите дату рождения для идентификац
Клиент: 10 ма 198 года.
Оператор: Спасибо. Остаток по креди составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый вечер, хочу оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас ес предложение с процентной ставкой 9 годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый де х узн остаток п кредиту.
Оператор: Конечно, подскажи дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 125 ты рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый де хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите да рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составля 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый вечер, хо оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планирует разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас е предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Оператор: У нас ест предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, у меня не проходи оплата картой в магазине.
Клиент: В супермарк около дома, терминал пишет 'отказано'.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Клиент: 10 мая 1987 года.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый день, хочу узнать остат по кредиту.
Оператор: Конечно, подскажите дату рождени для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 12 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый вечер, хочу оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процент ставкой 9 годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Оператор: Понимаю. Скажите, пожалуйста, в каком именн магазине возникла ошибка?
Оператор: Виж что карта активн Попробуйте, пожалуйста, повторить оплату или воспользоваться банкома рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Оператор: Конеч подскажите дату рождения для идентификации.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникл ошибка?
Оператор: Вижу, чт карта активна. Попробуй пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добры вечер, хочу оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У на есть предложение с процентной став 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У мен не получается войти в мобильное приложение.
Оператор: Понимаю. Кака именно ошибка отображается?
Клиент: Пишет 'невер пароль'.
Оператор: В таком случае в нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуй мне нужно заблокировать карту, я е потерял.
Оператор: Понима вашу ситуацию. Назовите последние четыре ци кар
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен че приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома, терминал пишет 'отказано'.
Оператор: Вижу, что карта активна. Попробуйте пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Оператор: Понимаю вашу ситуацию. Назовите последние четыре ци карты
Оператор: Карта заблокирована, перевыпуск возможен че приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В так случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуй у меня не проходи оплат картой в магазине.
Оператор: Понимаю. Скажит пожалуйста, в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома терминал пишет 'отказано'.
Оператор: Вижу, что карта активна. Попробуйт пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составл 125 тысяч рублей","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый день, х узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рожден для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Добрый вечер, хоч оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 30 тысяч рублей.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У меня не получается войти в мобильное приложение
Клиент: Пишет 'неверн пароль'.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, у меня не проходит опл карт в магазине.
Оператор: Понимаю. Скажите, пожалуйста, в каком именно магазине возникл ошибка?
Клиент: В супермаркете окол дом терминал пишет 'отказано'.
Оператор: Виж что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: У меня не получается вой в мобильно приложение.
Оператор: Понимаю. Какая именно ошибка отображаетс
Клиент: Пишет 'неверный парол
Оператор: В таком случае в нужно восстановить паро чере SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Оператор: Понимаю. Скажите, пожалуйста, в каком имен магазине возник ошибка?
Оператор: Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкомато рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Клиент: Добрый вечер, хочу оформить вклад.
Клиент: Примерно 300 тысяч рублей.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Здравствуйте, мне нужно заблокировать карт я её потерял.
Оператор: Пони ва ситуацию. Назовите последние четыре цифры карты
Клиент: 3456.
Оператор: Карта заблокирована, перевыпу возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Оператор: Понимаю. Какая именно ошибка отображается?
Оператор: В таком случае вам нужно восстановит пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У меня не получается войти в мобильное приложени
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пиш 'неверный пароль'.
Оператор: В таком случае ва нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, у меня не проходит оплата картой в магазине.
Оператор: Понимаю. Скажит пожалуйс в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома, терминал пишет 'отказано
Оператор: Вижу, ч карта активна. Попробуйте, пожалуйста повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
"Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый вечер, хо оформить вклад.
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тыся рублей.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добр день, хочу узнать остаток по кредиту.
Оператор: Конечно, подскажите дату рождения для идентификации.
Клиент: 10 мая 1987 года.
Оператор: Спасибо. Остаток по кредиту составляет 125 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: У меня не получаетс войти в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пишет 'неверный парол
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, мне нужно заблокиров карту, я её потерял.
Оператор: Понимаю ваш ситуаци Назовите последние четыре цифры карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможе через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйте, мне нужно заблокиров карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назовите последние четы цифр карты.
Клиент: 3456.
Оператор: Карта заблокирована, перевыпуск возможен через приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: У меня не получается войти в мобильное приложени
Оператор: Понимаю Какая именно ошибк отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Добрый день, хочу узнать остаток по кредиту.
Оператор: Конеч подскажите дату рожде для идентификации.
Клиент: 10 мая 1987 год
Оператор: Спасибо. Остаток по креди составляет 12 тысяч рублей.","Добрый день, хочу узнать остаток по кредиту. Конечно, подскажите дату рождения для идентификации. 10 мая 1987 года. Спасибо. Остаток по кредиту составляет 125 тысяч рублей."
"Клиент: Здравствуйте, мне нужно заблокировать карту, я е потерял.
Оператор: Поним вашу ситуацию. Назови последние четыре ци карт
Клиент: 345
Оператор: Карта заблокирована, перевыпуск возможе через приложе и в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Добрый вечер хочу оформить вкла
Оператор: Подскажите, пожалуйста, сумму, которую вы планируете разместить.
Клиент: Примерно 300 тысяч рублей.
Оператор: У нас есть предложение с процентной ставкой 9% годов","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У меня не получается войти в мобильное приложение.
Оператор: Понимаю. Какая имен ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У меня н получается войти в мобильное приложение.
Оператор: Понимаю. Какая именно ошибк отображается?
Клиент: Пишет 'неверн парол
Оператор: В таком случае вам нужно восстанови пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У меня не получается войти в мобильное приложени
Оператор: Понимаю. Кака именно ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: У ме не получается войти в мобильное приложение
Оператор: Понимаю. Кака именно ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случа вам нужно восстановить пароль че SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Оператор: Подскажите, пожалуйс сумм которую вы планируете разместить.
Оператор: У нас есть предложение с процентной ставкой 9% годовых.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: Добрый вечер, хочу оформит вклад.
Клиент: Примерно 300 тысяч рублей.","Добрый вечер, хочу оформить вклад. Подскажите, пожалуйста, сумму, которую вы планируете разместить. Примерно 300 тысяч рублей. У нас есть предложение с процентной ставкой 9% годовых."
"Клиент: У меня не получается во в мобильное приложение.
Оператор: Понимаю. Какая именно ошибка отображается?
Клиент: Пишет 'неверный пароль'.
Оператор: В таком случае вам нужно восстановить пароль через SMS.",У меня не получается войти в мобильное приложение. Понимаю. Какая именно ошибка отображается? Пишет 'неверный пароль'. В таком случае вам нужно восстановить пароль через SMS.
"Клиент: Здравствуйте, мне нужно заблокировать карту, я её потерял.
Оператор: Понимаю вашу ситуацию. Назовите последние четыре цифр карты.
Клиент: 3456.
Оператор: Карта заблокирован перевыпуск возмож чер приложение или в офисе.","Здравствуйте, мне нужно заблокировать карту, я её потерял. Понимаю вашу ситуацию. Назовите последние четыре цифры карты. 3456. Карта заблокирована, перевыпуск возможен через приложение или в офисе."
"Клиент: Здравствуйте, у мен не проходит оплата картой в магазине
Оператор: Понимаю Скажите, пожалуйста, в каком именно магазине возникла ошибка?
Клиент: В супермаркете около дома, терминал пишет 'отказано'.
Оператор: Вижу, что кар активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом.","Здравствуйте, у меня не проходит оплата картой в магазине. Понимаю. Скажите, пожалуйста, в каком именно магазине возникла ошибка? В супермаркете около дома, терминал пишет 'отказано'. Вижу, что карта активна. Попробуйте, пожалуйста, повторить оплату или воспользоваться банкоматом рядом."
